"","content","rating","date"
"1","It's hard for me to rate this show. When looking back at the older seasons it seems to me like Seth and his crew had fun writing and voicing the characters. Occasionally there were musical numbers thrown into the mix, songs I know by heart and will forever be stuck in my head. Such as ""Shipoopi"" and ""It's a wonderful day for pie""We hardly get any of this nowadays. The gags are nowhere near as complex or funny as they used to be.Seems to me like the only reason this show is still running is because there is money involved and because some people ( like me ) are naive enough to keep watching even tho it's not what it used to be.I'm not angry at the state of this show, but it's sad to see what it's been reduced to.","7","30 July 2021"
"2","Seth MacFarlane = Genius. There are so many prized moments of humor in this show that I cannot help but laugh at them even if I've seen them dozens of times. The voice acting, the references to real life, the ideas, it's all a comedic treasure!","9","9 November 2021"
"3","Family Guy has been a laugh out loud funny show for almost 20 years now! It's easily one of my favorite comedies of all-time! Seth McFarlane is just an absolute genius who has done the impossible and that's make a show remain hilarious for over 2 decades now. There's not much I can say about this incredible show that hasn't already been said so just do yourself a favor and go watch it...you won't regret it!","10","15 June 2021"
"4","I don't even know how to explain how much I absolutely love Family Guy! It has been a laugh out loud funny show for almost 20 years now! It's easily one of my favorite comedies of all-time! Seth McFarlane is just an absolute genius who has done the impossible and that's make a show remain hilarious for over 2 decades now. There's not much I can say about this incredible show that hasn't already been said so just do yourself a favor and go watch it...you won't regret it!","10","2 December 2021"
"5","Family Guy has been a laugh out loud funny show for almost 20 years now! It's easily one of my favorite comedies of all-time! Seth McFarlane is just an absolute genius who has done the impossible and that's make a show remain hilarious for over 2 decades now. There's not much I can say about this incredible show that hasn't already been said so just do yourself a favor and go watch it...you won't regret it!","10","19 August 2021"
"6","Spectacular, truly the animated series with the most beautiful family that exists, irreverent and fun to exaggerated levels. Beautiful from all points of view, each episode is a surprise and each episode makes you laugh at least once.","10","27 November 2021"
"7","The humour of this cartoon is outrageous in its own unique way. Compared to The Simpsons it is less coherent and compared to South Park it is more juvenile. Family Guy has a very distinct and memorable style that relies on constant cutaways to keep things fresh.","8","20 August 2020"
"8","Not sure if it's political correctness, that the formulae is stale, or what. But what used to be sometimes shocking, edging, weird and funny now pretty much elicts no laughter.","6","22 November 2021"
"9","I've currently been binging Family Guy and it's become one of my favourite shows. However, the only seasons I've seen in full as of writing are the first two, so my opinions may change if I watch later episodes. But from what I've seen so far, the newer seasons still have some genuinely great gems, unlike 2021 SML.","10","26 August 2021"
"10","So it's fair to say that it's lost some of its edge, and that the latter series aren't as good as the earlier years, but the success of Family Guy can't be argued with, it's still watched and adored by millions, and I'm one of its viewers. I think if they want to continue with it beyond the next Series they are going to need to tinker about with the formula somehow and freshen it up a bit, it's true some of the gags are being recycled, even still I still watch and howl with laughter. Stewie will forever be my favourite Griffin, and some of the caustic one liners are hilarious. For me it peaked around Series 4/5, but there have been some classic episodes since, the Brian and Stewie episodes are always fun.","8","21 May 2016"
"11","Network: Fox; Genre: Animated Comedy, Satire, Parody; Content Rating: TV-14 (pervasive sexual content, scatological humor, strong language, violence, animated nudity); Perspective: Contemporary (star range: 1-5); Season Reviewed: 5 seasons After 5 seasons, two cancellations and a now militant army of fans the show has amassed, I don't quite know what to say about ""Family Guy"" anymore.When ""Family Guy"" debuted in 1999 it was a shotgun blast of comic brilliance that came out of nowhere and went unheard by an audience still enraptured by the antics of ""Friends"". At first it all appears relatively routine, even - as many have accused - a ripe-off of ""The Simpsons"". Fat, child-like, head of household Peter Griffin (voiced by creator Seth MacFarlane) screws things up while dotting wife Lois (Alex Borstein), put-upon daughter Meg (Mila Kunis) and genetic copy Chris (Seth Green) look on. Also in the mix is genius, homicidal infant Stewie (MacFarlene) - one of the most deserving break-out characters in TV history - and Brian, the family's talking dog.If the characters sound like clichés, that's the point. MacFarlane uses them simply as vessels and with the show regurgitates every pop culture childhood memory to create a full-length parody of 70s and 80s sitcoms. Even better than a parody, a satire. Just as Archie Bunker was a product of the 50s being imposed on by a changing 70s culture, ""Family Guy"" is about the new millennial values juxtaposed on sitcom camp of the last century. In MacFarlane's world there are child molesters on ""Lost in Space"" and ""Eight is Enough"" actually refers to disciplinary beatings.Yes, ""The Simpsons"" have covered similar ground, with a particular emphasis on random flashbacks and fantasy scenes. But with ""The Simpsons"" in a creative tailspin for the last decade, MacFarlane and crew swoop in to fill this gaping void. To out-Simpson ""The Simpsons"" if you will. What MacFarlane brings to the table is pitch-perfect comic timing - an ability to know how quick to cut or how long to drag out a particular bit to get the laugh. As well as utter fearlessness. From bits in which Jesus Christ turns water ""into funk"" or a TV parody ""Gumble 2 Gumble: Beach Justice"" staring Greg and Bryant Gumble as bicycle cops, ""Guy"" isn't just one of the funniest things to grace TV, it was freakin' brilliant. This breaks from are more often like an animated version of ""The Far Side"", then ""The Simpsons"".Then it was canceled only to be renewed at the 11th hour. And then it was canceled again, brought back supposedly by strong DVD sales. But given the networks ownership of the show and how Fox beat to death the equally strong ""Futurama"", it's hard to buy that. This constant shakeup has got to take a toll on a series' rhythm. When the show returned for a 3rd season it felt lacking of something. As if the network notes to ""slow the pace"", ""tone down the fantasy scenes"" and ""thicken the story lines"" were rigidly being followed when the breaking of these rules was what made the show great in the first place. Still it contained classics like ""Emission: Impossible"", ""The Thin White Line"", ""Road to Rhode Island"" and ""Brian Wallows, Peter's Swallows"" to keep us satisfied.Upon the 2nd return, giving us seasons 4, 5 and beyond, the show has completely lost it's footing. After a LONG agonizing wait, the 4th season premiere is a disappointing ""North by Northwest""/""Passion of the Christ"" parody. The rest of the season follows suit in which only ""PTV"", the show's satire of the TV ratings system, recaptures it's prior lunacy. MacFarlane makes the crucial mistake here, actually wanting us to care about them. Given that they where envisioned as clichés in the first place, putting the weight of a story on their backs only shows how lacking the show is for character depth. Even Stewie, once a source for huge laughs, is stripped down to a single latent homosexuality joke. The show gets story heavy where it shouldn't. Slows down when it should speed up. Goes broad when it should go cult. Gets political and angry when it should be mindless escapism. ""Family Guy"" was about velocity, randomness and obscure 1% gags.I won't go as far as to say that ""Family Guy"" beyond seasons 4 and 5 is proof that a dead show should probably remain dead. But it is proof that a show can't go through constant cancellations and reshuffling and remain intact. It also suffers from the same fate that has plagued ""The Simpsons"". It is full of itself. It has become lazy in a belief that it can do no wrong in the eyes of it's fans. ""Family Guy"", in many ways, has sold out. It isn't the acerbic TV rebel it used to be. It is now part of the system itself""Guy's"" humor has a masterful ability to appeal to ""Star Trek"" nerds and drunken frat boys alike. And it is hard to deny the TV geek in my doesn't flip out when they do something half of either audience won't get like weave a ""Star Wars"" joke into a ""Curb Your Enthusiasm"" reference. But the show's die-hard legions of fans (some damn near sycophantic over the show's brilliance) have allowed it to be lazy and complacent and paved the way for MacFarlane's head to slide right up his own posterior. In some ways he deserves it, the show can still be very, very funny. But the true fans out there know that it can do much, much better. * * * 1 / 5",NA,"12 August 2007"
"12","Family Guy is actually one of my favorite shows, the jokes are always a blast to hear and watch and it has one of my all time favorite cartoon characters: Stewie Griffin. A lot of hard core Simpsons fans do accuse this show of being a rip off, I agree, it's similar in some aspects, but still Family Guy is always worth the watch in my opinion. It's also a little more grown up than other cartoons, when it comes to the hard core jokes, Family Guy never disappoints, they will take the joke as far as they can go.The show is about the Griffin family: Peter, Lois, Chris, Meg, Stewie, and Brian. Peter is the head of the household, he's a bit on the slow side, loves beer, and is in love with TV. Lois is the wife and mother, she's always the one you'd want to go to with problems, but when you mess with her, she comes back with a punch! Chris is the son, very slow and stupid, but sometimes has those strange moments of very deep thoughts. Meg is the daughter who just can't be noticed and is finding herself in the harsh world of high school. Stewie, the baby, is a wanna be dictator, wants to kill Lois, will destroy broccoli, kill he man in white, and is always looking for victory to be his! Brian is a man stuck in a dog's body who loves Lois and is trying to figure out why he's with the Griffin Family.Family Guy has some extremely funny episodes, for me the most memorable are: Chitty Chitty Death Bang, Emission Impossible, A Very Special Family Guy Freakin' Christmas, and 8 Simple Rules for Buying My Teenage Daughter. Those are the episodes that just always can get a constant laugh from me. But I do recommend Family Guy, it's not for the faint of heart, but it's just a fun show if you want a few good laughs. The cast loves doing this show and they always pull in great and memorable characters. While I still prefer The Simpsons, Family Guy is also a show that I will always watch when I get the chance.",NA,"24 November 2003"
"13","Family Guy truly shows what the limits were at the time but it's through pushing the limits that they show our growth as a human race as a whole. Their jokes range anywhere from a fart joke to jokes about quantum physics (that you won't get unless you know quantum physics). It has reigned on TV for over 20 years and though, now, the older episodes could be considered ""inappropriate or ignorant"" they usually have a deeper meaning than what we see first. This show can work as pointless viewing or background noise and it can be broken down to a deep depth of life lessons.","10","25 July 2021"
"14","I cannot even begin to discuss how ridiculously smart and outrageously funny is this show. Not only does this program far surpass most of the comedies on television, it has the guts to hit topics that most of the overly sensitive public shies away from. I never understood why it was taken off the air in the first place. Fox can show something as tawdry and humanly degrading as Temptation Island, but Family Guy was too racy? Riiiight.I absolutely must comment on the incredible voice talent done for this show, most especially the amazing creator himself, Seth MacFarlane. First of all, his versatility is unlike anything I have ever heard. When I discovered how many voices he actually performed, I was floored. I am currently receiving my masters in speech pathology so I find his ability particularly interesting. Not only can he speak in these individual voices, he can sing in them, and very well I might add.The musical numbers in this cartoon revive a dying art. The ""Road"" episodes are a hysterical throw back to the Crosby/Hope movies, which is a reference I usually have to explain to my friends though they often must explain a few that I miss. In fact, the scope of the references range from cheesy 80's TV to political commentary to Broadway. This is why everyone will find something funny about this show. Everyone in one form or another can relate to it.Most of my guy friends think I should be offended by the show because I am a woman and this is a ""guy's show."" Let me tell you, this is not the case at all. Lois Griffin is a freakin role model. I like to think I have half of her savvy when dealing with my ignorant boyfriends.Absolutely excellent television. Edgy, funny, intelligent and extremely creative. This show was a breath of fresh air for mundane television and will soon awaken the network again. Seth MacFarlane, you are a genius!!",NA,"28 February 2005"
"15","I started watching ""Family Guy"" right after it premiered after the Super Bowl back in 1999. I immediately fell in love with it and thought it was hilarious. ""Family Guy"" is about the Griffin family who live in Rhode Island. Peter Griffin is the father of the family and not very bright. He usually says wrong things in the wrong time. Lois is the mother of the family and smarter than Peter. Meg is the daughter of the family and she tries to avoid her family from making her look uncool and goes through teen problems. Chris is the son who loves to eat and is also not very bright. Stewie is the baby who tries to kill his family and take over the world. Brian, the dog, is the voice of reason in the family but also an alcoholic. ""Family Guy"" has many great episodes. My favorites include ""Road to Rhode Island"", ""Peter, Peter Cavier Eater"", and ""Mr. Saturday Knight"". I am glad new episodes are coming next year! This show deserves 10/10 stars!","10","2 August 2004"
"16","I love family guy it's one of my favorite shows I liked the older seasons of this show more because it was more funnier than the newer seasons my favorite seasons are 1-5 but I still love the rest of the seasons my favorite episode is Brian in love my favorite character is stewie one thing I didn't like is they changed the character personality but overall great and funny show 8.8/10.","9","7 January 2022"
"17","The best animated series ever! Family Guy is the best Fox television animation. The design of this animation is fantastic The Quahog city in Rhode Island and the events that take place there are really fascinating. Making such an engaging animation and its success after all these years shows that the job has been done right. Peter, Lois, Meg, Chris, Stewie and Brian Griffin and all their friends like Glenn, Joe and the rest and the whole town are really fascinating and everyone has their own story and the designer worked on their character. This is not a fantasy animation, but Stewie and Brian work together on the fantasy part. I like it after all these years.","10","30 November 2020"
"18","Family Guy is another of the best TV-shows that premiered in 1999! Family Guy kind of reminded me of The Simpsons a little bit but there both different. The way Family Guy is like The Simpsons is that they both have the same plot which is a sit-com about a dysfunctional family that lives in a medium sized town where anything can happen and plus the humor is slapstick. Peter Griffin (voiced by Seth MacFarlane) does his best to do what's right for the family, but along the way, he makes mistakes that are the stuff of legends and he is the not so bright one in the family, he speaks before he thinks which is hilarious. Then there's Lois (voiced by Alex Borstein) who is the most sane of the bunch. There is the two teenagers of the family Meg (Season 1 was voiced by Lacey Chabert and then Season 2 and beyond Mila Kunis did the voice of Meg) who is one of those kids who tries so hard to fit in but yet it doesn't work and I feel so sorry for her and then there's Chris (voiced by Seth Green) who is fat, not really that smart but yet spirited and kind of weird. Then there's Stewie (voiced by Seth MacFarlane, again), the evil baby who has an English accent and is this evil genius who wants to take over the world and then there is Brian the dog (voiced by Seth MacFarlane, again), who is the smartest in the family and likes to drink and smoke and doesn't really describe himself as a domestic animal and is trying to find his purpose. The show is so funny because it also makes fun of several movies and other TV-shows which is another thing Family Guy and The Simpsons are alike! The other characters in the show are Cleveland (voiced by Mike Henry) who is this all-around nice guy; Joe Swanson (voiced by Patrick Warburton) who is this tough guy who is in a wheel-chair because he paralyzed his legs and he mainly uses his upper-body strength and then there is Quagmire who is this sex-maniac who goes crazy for any woman that is sexy and I like the way Quagmire says ""Alright!"" and I say it the way he would said it now. Plus Adam West is in Family Guy playing the Mayor of Quahog, himself and Seth MacFarlane also worked with Adam West when MacFarlane was working in Hanna-Barbera! It premiered back in 1999 after the 1999 Super Bowl where the Denver Broncos won! Then in 2002 FOX canceled this series and then Cartoon Network's Adult Swim block came along and picked up the series for re-runs and then TBS and now it is going to make a return on FOX! You can get this series out on DVD too!User Rating: 9/10BOTTOM LINE: HILARIOUS AND A BIT LIKE THE SIMPSONS BUT DIFFERENT!",NA,"26 July 2004"
"19","The best seasons was 1- 10 after that there was some good episodes like the Simpson and yea you know what I'm saying","4","27 September 2020"
"20","Every race, color, creed, religion, sexual orientation, political side, etc. etc. etc. gets shot at!","10","14 November 2019"
"21","This could have been great. The voice-overs are exactly right and fit the characters to a T. One small problem though; the look of the characters, mostly the supporting or guest characters look exactly the same. The same bored look on every face only with minor changes such as hairlines or weight size. It looks kind of odd to see a really big guest star's voice coming out of a lifeless form like the characters here. If I am not mistaken Kathy Griffin did a voice-over for this show and it looked too odd to be funny.There is a few other problems, one being the family plot. The Simpsons did it much better where you could actually buy most of the situations the characters got themselves into. Here we get too much annoying diversions, like someone having a weird fantasy and then we are supposed to find that funny but for some reason the delivery is a bit off. As you can probably tell it is hard for me to put a finger on exactly what is wrong with this show because it basically nothing more than a clone of the Simpsons or even more ""Married with Children"".If I should point a finger on what is totally wrong with this it probably is it's repetitiveness. Peter Griffin is not really a bright character but neither are any of the others. Lois should have been named Lois Lame because she is sort of one-dimensional. Seth Green as the kind of retarded son is the best thing about this show and that is the most stereotypical part on the show.So what more can I say. There isn't exactly anything wrong with this show but in the long run you have to admit that it takes a lot of work to do what the Simpsons has done for almost two decades.","4","3 June 2006"
"22","Family Guy used to be the best show on air in its prime years filled with great comedy and stories that the Griffin family goes through. Now the characters are all self aware every episode and doesn't entertain me very well.I used to love watching Family Guy, and I still do. However, it's gotten very lazy and all around bad with the writing now. Seasons 1-6 were filled with great stories and the characters weren't blown out of proportion like they are now. In this season it just seems boring and depressing compared to the older episodes. I'll give it slack due to the fact that the show has been running for almost 20 years, but I think the show has ran its course.The only positive I can really take from the later seasons is the attention to real world issues This is a good thing that they are spreading awareness about these topics, however they don't do it in an entertaining and funny way that they used to be able to.An example of this is the episode ""Thin White Line"", it's about Brian becoming addicted to cocaine and shows the spiral down that he takes from the effects of it. Seasons one through four were easily my favorite seasons to watch because they were clever, entertaining and the characters were relatable.The episodes from around season nine and below are the best ones and are a must watch. Seasons 10-14 were okay, I guess. Season 16 was better than 10-14 and I thought they were going to take a turn back to what they used to do, but season 17 came along a destroyed that hope.","10","7 May 2019"
"23","It was 8 years ago that I wrote a review on Family Guy. I thought better to start fresh than to update it. Thankfully the show has lasted all of these years and is making some crazy episodes. The show becomes more and more daring, but I think unlike when it first came around we are not surprised to see what this show does. Imagine all those years ago when Family Guy was canceled if it was not brought back. That would have been a sad affair. This show is exciting and edgy and I love it. I do understand that kids tend to watch shows like this because it is a cartoon and it is not appropriate for children. We are in a different age and for many years (thanks to shows like the Simpsons) cartoons are not just for kids. Some are for adults.Enjoy.","10","30 September 2009"
"24","Family guy seems to have consistent disturbing, confusing, outrageous plots that make me feel like it's horrible.However I start finding myself laughing over it too pretty consistently for some reason.The other poorly done cartoons that don't even last a season seem to be disturbing, confusing and outrageous without any funny things in there!I used to hate this until watching a bunch of poorly done adult cartoons that didn't even survive one season.","7","13 February 2022"
"25","One of the best sitcoms of all time for the first few seasons but then the show just loses its humour and gets boring with bad, stupid, and and repetitive jokes.","7","27 August 2021"
"26","As you know, things go wrong in the United States. And this incredibly good TV show parodies that wonderfully.","10","30 March 2021"
