"","content","rating","date"
"1","Brilliant television series that could probably be best described as ""The Flintstones"" gone stark-raving mad. ""The Simpsons"", everyone knows them. Some love the series and some could care less about it. Love it or hate it, it is near impossible to criticize the intelligence and creativity of this series. The titled animated family makes their home in Springfield, USA and gets into situations that are seemingly more outlandish and crazier than the previous adventure. Homer, Marge, Bart, Lisa, and Maggie are still going strong after nearly a dozen years of television life and with each passing moment it seems that the series sets some new precedent. For several years the show seemed to be the only attraction to the then obscure Fox Network. It was the first primetime animated show that was treated like a sitcom since ""The Flintstones"" quietly left the air in 1966. Many people feared the series when it first premiered in 1989 because they felt that it was hardcore adult material in a candied form that would appeal to younger audiences. Well for the most part this was true. However, ""The Simpsons"" would prove to be much more for all audiences. The great thing about the series is that it caters to all audiences. True there are usually situations that may not be suitable for all viewers, but then again that is true with everything on television this side of Disney Land and Sesame Street. ""The Simpsons"" works because of great comedy of course, but also great lessons that can be taken from most of the episodes. The people within the program may be animated, but they are just as complicated and vulnerable as the people watching them. All the regulars have their quirks, but in some episodes you can understand what certain characters are going through because the show is so life-like at times. Former President George Bush (the one from 1988-1992) once made a statement that families should be more like ""The Waltons"" and less like ""The Simpsons"". His opinion is somewhat old-fashioned and unrealistic. In other words, many topics dealt with in ""The Simpsons"" fit life for people in the 1990s and 2000s better than ""The Waltons"" did in the 1970s. A crowning achievement in television art. 5 stars out of 5.",NA,"21 July 2001"
"2","The Simpsons is the longest running animated TV series since The Flinstones, and you could understand why after watching just one of the Simpsons episodes. Simply because The Simpsons is just so hilarious and incredibly clever and has been ripped off so many times, but nothing has come close to the brilliance that the Simpsons writers have brought us.We have Homer Simpson, one of the most beloved TV characters of all time, with his famous quote ""Doh!"". He's an overweight, lazy, and not the brightest bulb, but so incredibly lovable for the fact of how bipolar he is! One minute he can be so incredibly depressed, but the next minute really happy and giggling. My favorite Homer quote is when he kills the zombie Ned Flanders in a Halloween episode, Bart tells him ""Dad! You killed the zombie Flanders!""... ""He was a zombie?"" Marge is Homer's wife and a homemaker. She is at times naggy, but always manages to get in some terrific humor and some deep sympathy with all she puts up with. My favorite Marge quote is ""Bart, don't make fun of grad students. They've just made a terrible life choice."" Bart is the oldest son and a rebel. His usual quotes are ""Don't have a cow"" ""Cool, man!"" ""Ei Carumba!"". He's this generation's Dennis the Menace. My favorite Bart quote is ""I need a soul, Ralph, any, your's!"", you'll see what I mean.Lisa is the second oldest and the smartie pants of the Simpson clan, she's kind of the know it all who solves all the adventures of the Simpsons. My favorite Lisa quote is ""They're only using you for your pool you know... shut up brain! I have friends now, I don't need you any more!"". Last, but not least, Maggie, the eternal baby of Homer and Marge, always a great love of the screen, but no famous quotes, just memorable moments like when she turns into an alien.The supporting cast is a terrific addition, my favorites include Mr. Burns, Homer's boss, Groundskeeper Willy, the school janitor, and Mr. Skinner, the school principal. The Simpson is just a terrific show that in one way or another you will see at least one episode in your lifetime. I know that generations to come, they will still be watching The Simpsons.",NA,"12 November 2003"
"3","The series that follows the dysfunctional family of the Simpsons.  The oafish Homer who can barely go a day without slacking or getting mixed up in crazy adventures. His wife, Marge, who tries to hold it all together.  His duaghter Lisa who is smarter that her gene pool should allow, Bart <U+0096> every inch the classroom rebel.  The family is rounded out by the youngest <U+0096> baby Maggie.  The family interact with those around them and learn lessons or sometimes fail to change completely.When this series started in 1987 as a string of rough shorts in Tracey Ulman's show it would be a brave man who would have predicted that over a decade later that this series would be as huge as it is.  However the series got launched with the Christmas special in the early 90's.  The first series saw the animation greatly improved and the characters developed fully to be more involving.  However the story lines were not as sharp or as full as they were to be.  The second series and onwards saw the Simpsons have better stories <U+0096> often multi-layered stories filled with pop-culture references and background jokes that reward the careful viewer<U+0085>to try and list them would take ages.For an American sitcom (for that is what it is) this is amazing <U+0096> the intelligence of the script is fantastic.  The depth of the stories are involving, witty and packed.  For a movie buff like me, this is a gold mine <U+0096> from sly references in the background to full blow scenes almost spoofing movies this has them all. In some programmes that have background jokes the main stuff at the front often suffers or is ignored totally.  However here the main plot and dialogue is fresh and well thought out <U+0096> it is amazing that for almost all of it's run The Simpsons rarely had a bad episode.True <U+0096> recent shows have begun to show a slide in quality but this is to be expected after more than 10 years at the top.  However it is generally brilliant and clever.  After the first series everything improved.  Not only was the series used for political comment, satire and ironic humour (in a country that generally can't do any well) but it is also heart warming and funny.The characters live in a balance between reality and surreality.  They are sort of recognisable as real people in terms of habits and experiences <U+0096> but in another way they are out there<U+0085>..Homer has been in Space, stopped a nuclear explosion etc.  The mix of this makes for an unique programme.  What makes it better is that the makers never draw a line between the madness and the normality <U+0096> one episode is made up of a bad-neighbour type war between Homer and George Bush Snr!  The mix is seamless and adds layers to each show.The wealth of characters is another strength. The main family is strong <U+0096> even Maggie has regular input and adventures!  However where most sitcoms really rely on their main subjects for the stories, The Simpsons has a supporting cast of dozens and dozens of really good characters <U+0096> all of whom are able to carry an episode.  They range from the normal characters (an inept  Police Chief, an Asian shop keeper who is used to being robbed at gunpoint) to the referential or well imagined, (the well-educated Sideshow Mel, a bitter Krusty the Clown, an useless lawyer).  All the characters have become more fully used as time has gone on.The voice actors are all excellent and all do a huge range of voices<U+0085>of course they get very well paid for it!  Unfortunately the late Phil Hartman provided the voices of two of my favourite characters and I really miss his dry humour and strong all-American voice.  Lionel Hutz was a great character and my favourite, Troy McClure is a wonderful spoof of 60's B-movie actor Doug McClure.  This depth really helps the show and has allowed it to feel so very fresh years on.I could go on for ever, but the series is a wonderful bit of proof that sitcoms don't have to be simple, full of canned laughter and focus on sassy teenagers!  The joys of the dialogue are backed up by movie references and crazy adventures.  The wonderful Simpson family are supported by a huge cast of imaginative characters who are always well used and a queue of celebrities just lining up to have a few minutes in the show. Quite simply this is consistently the best show to come out of American in my life time.",NA,"20 April 2002"
"4","i have yet to see something as funny, clever and entertaining as ""The Simpsons"" on TV. I'm hardly a TV-series buff, I rarely have the patience and interest to follow a show for more than five or six episodes. ""The Simpsons"" is the one show that I am very sorry to have missed out on until just a couple of years ago. Luckily, Swedish television are rerun experts. It is also the only show that I make sure to follow apart from perhaps ""Friends"", but in entertainment value, ""The Simpsons"" is way ahead.What makes this show so great is its attention to detail, its outrageous dialogue and its completely fearless way of dealing with any issue that crosses the writers' minds. The many characters and their extravaganza makes it an endless well of new angles, new ideas and even more outrageous dialogues. Another very important element is the mocking irony and sarcasm which permeates the entire series. The smarmy and cheesy moments that a great many episodes end up in are extremely clever and becomes an important part of the fun.What impresses me the most about the series is, however, the enormous amount of detail: the attentive spectator is not just in for the obvious gags - there's always something going on or something to read in the background, which makes a VCR mandatory so you can go back and check that special detail out again. Its a fantastic show, and its a great moment when one can sit down and watch another insane, stupid, disastrous and hilarious episode.",NA,"5 February 2001"
"5","The Simpsons is a show that has sustained ten years of constant humor.  The stories have gradually become better and the second fiddle characters were getting more screen time which translates into a much more realized show. The pop culture references abound and delight those who can pick them out. My personal favorite is the Citizen Kane references in the episode called ""Rosebud.""  Plus, anything with C. Montgomery Burns is hysterical.  The guest stars aren't there as a ""special appearance"" touted by the networks. They actually work into the storyline, and that makes it all the more enjoyable.  Where else can you see The Moody Blues acting like thugs in a Vegas casino?",NA,"17 January 1999"
"6","The Simpsons was an amazing show until after season 6 and then was still good until around season 12. It became decent after that and really went into ""meh"" territory after season 20-ish.The biggest problem with the Simpsons is that it has lost it's magic and has become all about woke and appeasing the vocal minority. Examples of this are removing Apu from the show, removing an actor from voicing a character(s) because they aren't the proper skin color, and have removed episodes/content (this isn't new but removing Stark Raving Dad is new).","6","1 October 2021"
"7","First 10 seasons classic, funny and enjoyable fun show to watch. Half way through season 11 it starts to go meh but then after that the more seasons made through out the years the worse and worse it gets. How is this show still on going today is mind blowing. The humour isn't funny at all anymore. The couch gags drag on for what feels like 3-5 minutes. Ideas for each episode are running dry. There is even a Halloween episode that relies on fart jokes. Hope it ends at season 30.","6","29 October 2017"
"8","When I was 10, I adored the Simpsons, America's favourite dysfunctional family. Me and my brother and sisters watched it every day after school, and got a bagful of laughs. Two years ago though, I stopped watching it. Maybe I didn't find it as funny, creative or as original anymore. Well after seeing the Simpsons Movie, I decided to give the show another chance. And I am glad I did, because it is smart, creative, funny AND original. It is true that the show has been declining in written quality the past three years or so, but the more recent seasons are still watchable, thanks to the animation and the endearing characters.The show's animation is fantastic. In animated shows, I like animation that is colourful and fluid, and the animation in this show is exactly that. The theme tune is irresistibly catchy and the story lines are outstandingly good. Other than the voice acting what made the show so good was its writing. Not obnoxious or childish, but smart and most importantly funny. And the visual jokes are also impressive.And the voice acting is exceptional bringing the dysfunctional family to life. Homer is a type of father figure who repeatedly lets down his family, has a love for doughnuts and beer and pretty much hates his job. Dan Castallenetta, a talented voice actor whom I fondly remember as Megavolt from Darkwing Duck, does a great job not only as Homer but as Grandpa and Krusty, not loud and abrasive at all but just right. Julie Kavner is also great as Marge, a caring matriarch who genuinely cares for her family. Nancy Cartwright is perfect as Bart, who is quite naughty and hates school, same with Yeardley Smith as studious Lisa. Plus Maggie is absolutely adorable.Then there are the supporting characters. My favourite is Grandpa, he is absolutely hilarious. Hank Azaria is amusing as Moe and Chief Wiggum, and Harry Shearer is suitably chirpy as Ned and impresses equally with his monotonic drawls for Principal Skinner and Reverend Lovejoy. There are many memorable guest performances from various celebrities, and frequent appearances from Phil Hartmann and Tress MacNeille. My favourite is Kelsey Grammar as Sideshow Bob, a reprising villain I enjoy watching, sinister yet funny. All in all, despite the fact it isn't as enjoyable as it was, The Simpsons is still a great show. 9.5/10 Bethany Cox","9","8 January 2010"
"9","The Simpsons was my de facto go-to comedy from 1992 until the movie came out. Based on other reviews here, it appears that I hung in a lot longer than most. But I gave up eventually.From 1992 until 2007 I used to record, save, and constantly re-watch the Simpsons on VHS. Once the DVDs started coming out, I would buy every single box set and watch those to death as well. I used to drive my friends nuts with quoting lines or referring to episodes. I looked forward to every episode, what new disaster Homer could get into, and what goofy plot they would come up next. I loved every diverse and wacky character and how they all interacted with each other, good or bad. The writing was top notch, the parody of real-life things was great, and voice acting was flat-out superb. From the time I started watching until the early 2000's, it was heavenly. From 2002 - 2006, it started showing some signs of weakening, but still managed to make me laugh.Then the movie came out in 2007.It had a few moments (Marge's choice words about the bomb got my one ""out loud"" laugh), but it felt lackluster and pandered to a generic audience instead of staying really true to the diehards that were with the show since the beginning. The movie also marked the start of the show eventually going to CG versus traditional animation.And here is where things start changing. Eventually, the writing went from meh (and later super-meh) to flat out lazy and about as funny as a terminal disease. Since CG animation no-doubt faster to produce than hand-drawn, the Simpsons went from feeling hand-made to mass-produced. This effect eventually seemed to spill over into all aspects of the show. Despite this, I was willing stick it out so long as it made me laugh, but it stopped doing that and I just couldn't bear to watch any longer. For me, it was really like a dear friend or relative was dying before my very eyes, albeit slowly and painfully.But what really buried it for me was when that loser and complete no-talent ""comedian"" Hari Kondabolu cried and whined that Apu was somehow an insult to the entire Indian race (a farcical cartoon character, really?) which eventually stopped Hank Azaria from voicing it. Congrats Hari, you ruined one of my favorite characters on the show. What is it that you are known for again? Oh right, we're still waiting for all the brilliant comedy that you have yet to produce. It appears that Hank will no longer be voicing Carl either, who is now replaced by a ""correctly-raced"" actor. Because, you know, the earth was going to explode or something if that wasn't done. I supposed it's just a matter of time until Dr. Nick Riviera will be saying ""Bye Everybody!"" as well.But it's OK, I've reached the level of acceptance and abandoned the show several years ago. I honestly don't know anyone who still watches this show either, but for those that still do I would ask that you please stop. Let the viewership die so that the show can die right along with it. It really needs to be put out its misery at this point. Every once in a while, I catch a glimpse of recent episodes when switching channels and most of the voice actors sound tired. I'm sure this is easy money for them by now, but really, I would think they are all talented enough to do other voice work in many other places. Or not - maybe they all need to retire. Poor Julie Kavner's voice sounds like it's practically gone now.There was a time when I used to hope the state that Springfield is in would be revealed in the final episode, but now? I couldn't care less. What once was a show that screwed with the established order eventually got swallowed up by it and drowned in a sea of political correctness. I sold off my Simpsons box sets years ago and moved on to other things. The classic version of the show still exists for me now, but only in my memories. It's a world where Apu does not want anyone offering Ganesha a peanut, but he does ask us to ""Come again!"".","5","9 December 2020"
"10","Network: Fox; Genre: Animated Comedy, Parody, Satire; Content Rating: TV-PG (language, adult contend and animated nudity); Available: DVD and syndication everywhere; Perspective: Classic (star range: 1 - 5);Seasons Reviewed: Season 12+ If someone had told me 10 years ago that I would one day be bored by 'The Simpsons', I would have called them crazy. But here we are and while 'The Simpsons' has become the longest running show on TV at the cost of its core integrity. ""Simpsons"" in its prime was the best things to grace the small screen. A funny, ground-breaking animated comedy with lightening-quick wit, insightful social and brilliantly integrated parody. It created its own universe with an entire town of original characters. Most importantly, it actually helped shape the sense of humor of an entire generation. That generation which has now grown up and is now creating animated shows in direct competition. ""Simpsons"" is a pale shadow of its former greatness. It gradually slipping this way for several years, but it wasn't until the 2002 and 2003 seasons that the show really smashed up against the rocks for good. I used to delight in each new episode of ""Simpsons"". But now the show clunks along each week in what appears to be filling time. The free-wheeling gags it used to deliver with such ease are now weighted down by an unnecessary over importance on story. The show at its best may get off a funny, sharp one-liner every now and then. It's biggest asset currently is it's willingness and given latitude to slam its own network. I do delight in their ""Joe Millionaire"" on-air promo parodies or a recent episode where Homer calls to give the network an idea and the recording says something like ""If you know of another network's reality show we can rip off, press 2..."" So what happened? There really is no one thing that can easily be pointed out to all the late-commers and say ""this is what happened"" - you have to have traced the history. The 'jump the shark' moment could have come as early as the infamous Frank Grimes episode where our vision of The Simpson family was suddenly turned into something to aspire to instead of parody. It could be the legion of big name celebrities forced into every episode. To bring down a show as great as this, it was a slow convergence of several things. Watching it, 3 differences are evident on-screen at any given time: First, the stripping down most of the characters to 1-note cartoons. Notably, British favorite Homer Simpson going from child-like, hard-luck father to a rag-doll for wild animals to rip apart as each episode closes. I'm particularly appalled at its attempts to use Homer as a political mouthpiece. Did you know that a guy who once lit a Q-tip so he could see inside his brain has an active concern for global politics? Yeah, I didn't either. Secondly, the classic Baby Boomer voice of the series has evaporated and was replaced with contemporary generation X and Y jokes. Now, it's the internet and Tony Hawke. The voice of the series used to be one of creator Matt Groening's, seen through the eyes of Homer and Marge. That voice has been lost as the show has turned into an assembly line institution, repackaged and been homogenized for the masses and a new generation of writers lead by Ian Maxton-Graham has come in to ""keep it fresh"". Thirdly, it has run out of creative juice. Anyone who has stuck with the show long enough can see it literally re-telling jokes and recycle previous story lines. When the recycling becomes too obvious or the episode makes no sense, they merely double back and declare it all a big self-parody. Not even Al Jean (architect of the show in its prime and the Larry David of ""The Simpsons"") can save it now. Since the talented voice cast has remained the same low these many years, I put all the blame on this squarely with the Fox network who refused to let this show go out gracefully when Groening siphoned off his role to work on his dream project, the now far superior 'Futurama'. In Fox's race to claim this endurance record they have turned a once edgy and visionary show into an institution with an assembly line production and revolving door of writers to match any of the other lame shows on TV. Behind the scenes, maybe the condescending we-can-do-no-wrong attitude of Maxton-Graham has dealt the show its biggest death blow, while producer Mike Scully sat back and ineptly let Maxton-Graham run it into the ground. In the end, the biggest blame may actually land with the ""die-hard fans"" that embolden the show by letting it get away with this junk. Yes, ""The Simpsons"" was ground-breaking and every adult animation in the future owns it a bit of gratitude, but blind loyalty to a show only for how it performed in the past isn't healthy. Since it has hit long-running status the critical bandwagon jumping has begun and ""Simpsons"" is more popular than ever amongst critics that want to be on the inside of history. We've now reached a point where the bad episodes and bad entire seasons outweigh the good and that, I'm afraid, is going to be the sad legacy of ""Simpsons"" . A train-wreck of crass, childish humor, grainy animation, oddly misplaced satire and forced parodies of only the most obvious pop culture targets. 10 years ago I didn't know what I would do without ""The Simpsons"" but now, particularly with the emergence of satisfying new adult animated shows ('Futurama', 'Family Guy' and 'South Park'), living without it might be pretty good. * * / 5",NA,"25 January 2004"
