"","content","rating","date"
"1","South Park is probably the most misunderstood show in TV history.Sure, it does have fart jokes but what it has really involved into is a show that depicts a wide range of current events, pop cultures references, social problems through the lenses of a group of 10 year olds and all the wacky characters that surround them.The fact that the drawings are fairly simple also makes a lot of people shy away from it, but actually this show has a completely unique approach to several divisive or thought-provoking subjects. To name a few:'The Hobbit"" looks at how photoshopped photos makes society expectations of a woman's body hard to reach and the amount of pressure it may put on little girls (whilst taking hilarious jabs at Kanye West and Kim Kardashian)""You're getting old"" takes you over the nightmare that is feeling like you might be mentally older than you friends and that may make left outConsole Wars episodes dive into the consumerism involving Black Friday, video games and the world's obsession with Game of ThronesThese are all great episodes and I think the show if anything has aged well with time.The other brilliant thing about South Park is that because each episode gets produced in the span of week, it can be more up to date than any scripted show - just this season it referenced Kavanaugh nomination controversy in an episode even before he was eventually confirmed.Second 10/10 I have given on IMDb and South Park is well deserving of it.","10","7 November 2018"
"2","Initially was not sure as to whether 'South Park' would be my cup of tea at all, despite being a huge fan of animation for all my life (and still very much am). But there have been many instances of films and shows that gave me conflicted feelings before watching, but turned out far better than expected and actually being very good or more.Such is the case with 'South Park'. As of now, it is one of the highest rated shows on IMDb and was a huge ratings success when first aired, and no wonder. At its best, it's absolutely brilliant and one of the best and funniest shows there is to me. Thought that would never be said about a show known for dividing people with its controversial and ""offensive"" content, was not sure whether I would like it let alone love it and it ended up a favourite. Is it as good as it was? No, it's not as witty, daring or inventive now, but is still very funny and intelligent. That is only being said though because the earlier seasons are so good.To me, 'South Park' is much better than other popular shows like 'The Simpsons' (originally fantastic, now has declined rapidly) and 'Family Guy' and Seth Macfarlane's other shows, which never did anything for me.Can actually see though why some dislike it. A lot of the content is very controversial and not for the easily offended. The show is crude, extremely rude (possibly the rudest animated show ever), naughty, at times juvenile and less than subtle in its treatment of taboo subjects. At the same time, 'South Park' is hilarious, smart, witty and daring but also clever, sharp, irreverent and intelligent. The satirical humour is subversive and there are not many animated shows this daring, completely contradicting the tired and incredibly annoying cliché spouted constantly that animation is only for children (often by parents defending a panned family film).Often one is shocked at how much 'South Park' gets away with, everything. Every subject and every everyday issues is covered and satirised it seems, nothing escapes the writers. While subtlety completely goes out the window, so much of what 'South Park' says has a huge amount of truth and relevance (both when it first aired and still very much so now). Like good satire should it does it in a daring and perhaps divisive fashion, not holding back and taking no prisoners. This should sound like a recipe for disaster, but actually to me it was why the show is so loved and admired.There's more to 'South Park' than just the humour. The stories are very inventive, smartly constructed, cohesive, honest and relevant. The characters are some of the most memorable and iconic in recent animation, especially Cartman. Trey Parker and Matt Stone's voice work is a practical tour-De-force for both, both bringing so much individuality and personality to these characters and their writing.Not everybody seems to like the animation, personally liked the quirkiness of it myself and there are not many shows with visuals like 'South Park's'. The music is energetic and catchy.Overall, brilliant show that surprisingly became right up my street, even with the controversial content. 9/10 Bethany Cox","9","23 August 2017"
"3","Network: Comedy Central; Genre: Animated Comedy, Satire, Parody; Content Rating: TV-MA (for dark comic content and graphic language, sexual content, violence & animated gore); Available: DVD; Classification: Modern Classic (Star range expanded: 1 - 5);Season Reviewed: 10+ seasonsStan Marsh, Kyle Broflowfski, Eric Cartman and (sometimes) the ill-fated Kenny McCormick are 8-year-old boys growing up amid an adult world in the backward, frozen-over mountain town of South Park, Colorado. Their adventures, that make up creators Trey Parker and Matt Stone's animated comedy ""South Park"", include fending off everything from supernatural demons to the biggest names in the Hollywood intelligentsia. ""South Park"" is several things. It's rude, crude, shocking, smart, decidedly adult, completely original, and it is indulgent in the whims and imaginations of it's creators. It's also the very best political, pop culture and current event satire on television. The show started as something of a fad - the new vulgar, don't-let-the-kids-watch show on the block. But as real world events changed, ""Park"" evolved along with them. Standing as the kings on top of a soap box they constructed out of swearing kids, talking poo, homosexual hand puppets and hermaphroditic parents; Parker and Stone where blessed with the freedom of a hit series, hip status and a network that gave them the freedom to do whatever they want. As the show aged, they matured in their storytelling abilities and the show went from shock value fad to a barbed satire of American culture. ""Park"" is brought to life with oddly beautiful, vibrantly colored 2-dimensional cut-and-paste animation. The episodes are masterfully constructed. The writing a witty showcase of Parker and Stone's love for pop culture parody, graphic violence, pornography and a bold willingness to take on the hot button issues of the week. It is a free-for-all virtuoso where nothing and nobody is safe, every establishment media position gets flipped on it's head and every politically correct sacred cow gets eviscerated. Now that's comedy - if you can stomach a barrage of extreme scatological humor with your social satire. The vomit jokes and fat jokes on ""Park"" aren't there for the sake of it, but have substance behind them. And nobody does them better. Eric Cartman, Mr. Garrison and more recently Randy Marsh (stepping up as a reliably hilarious scene-stealer) are classic characters, but Parker and Stone have gone further and developed an entire town of colorful caricatures. They aren't made to be as endearing as those in ""The Simpsons"", but aren't supposed to be. The characters aren't just vacuous idiots, and the laughs of the show come from a very socially conscious place. Straight men Stan and Kyle are the show's most underdeveloped. They serve mostly as a mouthpiece for Parker and Stone's conservative libertarian philosophy, often literally giving a speech to a crowd in the show's finale. There is not a single other place on TV where you can see environmentalists, the anti-smoking lobby, illegal immigrants, trial lawyers, news media hysteria, elitist Hollywood liberals, abortion, sex ed in schools and every celebrity from Mel Gibson to Paris Hilton all get ripped to shreds. The show pulls it off because it has a unique ability to deconstruct and reconstruct current events better than anyone else (notably Comedy Central's overrated ""The Daily Show with Jon Stewart""), giving them a hilarious or supernatural explanation without moralizing getting in the way of the laughs. They take their own messages to such loony extremes it's impossible to take seriously.The cherry on top is the seemingly endless quality of the original songs provided by the creator's cover band, DVDA. With a skeleton crew that writes, directs, animates, voices and scores the show, this is independent television in it's purest form. This means it often labors on Parker and Stone's geeky indulgences - episodes center around a full-length ""Star Wars"" parody, the class gerbil making it's way up a human bowel or Timmy, a handicapped student who can only say his name. Occasionally, their shock value execution creates a gagging reaction that obscures an otherwise brilliant point (""Fat Camp""). But I'd rather have a show that challenges me than one shackled to clichés and network mandates. When ""South Park"" goes for the shocking ending, you better believe it actually will shock. Still, ""South Park"" is almost impossible to recommend in a casual sense. The show is truly an acquired taste, but one I have to come to support whole-heartedly through the years despite (and because) I have absolutely no idea what to expect when sitting down for a new episode. How rare is that? Where so many other shows cower in the corner, begging for our approval ""South Park"" is constantly taking risks and re-inventing itself. We've got terrific stunt episodes, episodes built around one joke or building to a single knock-out punch line. They use the smash-cut ending better than anyone (""There Goes the Neighborhood""). Sometimes the experiments are to it's own detriment and the episode is a 22 minute bore, but even then it's almost unheard of to find a show in it's 10th season that is still water cooler television. ""South Park"" grabs us by the collar, shakes us around and dares even it's biggest fans to come back next week for more. The show is a monument of creative freedom with a wicked imagination, a true (and hilariously funny) sense of comic timing, and an insightful, socially conscious ear that smartly reflects a point of view starving for attention in mainstream television. It is a hugely entertaining, fiercely visceral, fire-breathing, red-blooded American satire made by, for (and most appreciated by) the most jaded and discriminating TV viewers. We just don't have shows like this on TV today. Anywhere. * * * * * / 5",NA,"9 January 2005"
"4","I don't know why this show is getting such negative reviews. A lot of people (adults mainly) keep assuming South Park is nothing more than wall to wall curse words and gross out jokes. Far from it. Sure, they swear and there is an occasional gross out jokes, but the show is also filled with quality and classic humor. The plots are genius. So what if it's offensive. Big deal! For some reason, people assume that cartoons are just for little babies, and some people appear to have difficulty accepting the fact that times have changed and animation is not just for kids anymore. Face it, we are living in an age of shows like South Park. Can't deal with it? Then that's just too bad.",NA,"14 August 2000"
"5","South Park is one of the most misunderstood, and also the most intelligent shows on television.South Park is a satirical look on most anything from Western society - politics, the media, today's youth, celebrities, violence in our society, and much much more. However, instead of presenting these issues as they are, they alternately project them through the exploits of four young boys in South Park, Colorado. Unfortunately, many people take the show solely at face value, refusing to see the intelligence in it - South Park is admittedly filled with racist and sexist jokes, along with other offensive material. The problem lies within the fact that most people don't seem to understand the concept of satire and self parody. I admit that I, myself, was one of these people - for years I refused to watch that ""garbage,"" until finally a friend forced me to actually watch a whole episode, and I realized that the show was actually making a point.So, if you haven't done so, go - watch an episode. You'll feel smarter when you're done.",NA,"10 December 2004"
"6","Both cartoons and sci-fi have long been the only place where thought-provoking social commentary can take place, unmolested by censorship, and both are all too frequently dismissed because of their least important characteristics. South Park is an intelligent, humorous and thought-provoking show that is often ignored or decried by people who judge it only by the very things it deliberately throws in their face, such as profanity, simple animation, and graphic violence, because the creators know that people like this are easily offended by these things, and will always miss the point. The simplicity of the animation, for example, has been criticised by people who miss the point that it's deliberately meant to be simple, in the face of those high-budget major studio cartoons that are more concerned with using cgi and selling toys than having anything to say. Nope, this isn't a show for those who don't appreciate irony. The episodes tackle a wide range of issues, from 9/11 to violence on television to celebrity obsession to religion, through the use of comedy, which is usually the best way to handle such matters.The main characters are four children who are basically mouthpieces for their creator's opinions, expressing views that would sound arrogant coming from adults. Stan represents the liberal viewpoint, as does his friend Kyle, who as a practising Jew, allows opportunity for religious comment. Is the show anti-religious? No, but fundamentalists like to think it is. It has the essential message of 'believe what you like, but leave me alone'. And of course there's Eric Cartman, the ignorant foul-mouthed selfish redneck, and funny as hell. Sometimes I think he's there to remind us not to take anyone like him seriously. That and to provide a lot of the show's humour. Easily my favourite character. Other characters on the show usually represent majority/opposing views as the plot requires.Like any long-running show, some episodes are better than others, not all have something to say, and not all are funny. But creators Stone and Parker 'retool' the show periodically with new characters, and try to keep up with current events, and I enjoyed the latest series (8th) for these very reasons. I've watched since the beginning, but they're making an effort not to let South Park go stale.No doubt South Park will continue to be derided by those who think the most important social problem today is swearing, yet have probably never sat down to watch an episode. And beside them will be the offended parent brigade who still haven't learned that not all cartoons are for children. But the rest of us will still be here to enjoy it, hopefully exchanging righteous indignation for a few laughs and maybe a thought or two about the world we live in. If you've never seen South Park, don't listen to the hype. Watch it and decide for yourself. Hopefully you'll be glad you did.",NA,"21 February 2005"
"7","I remember when these four little boys were nothing but private greeting card art. Now look at them!In all seriousness, I love this show. This is the funniest adult cartoon there is, and thank GOODNESS Comedy Central took this series and allowed the creators to do ""almost"" anything. If there was an alternate universe for ""Peanuts"", you've hit it in ""South Park"".There are very few (if none) episodes I didn't like. We all have our favorites, and my number one is still ""Cartman Gets an Anal Probe"". I laughed until I cried on that one. The next one that is very close to that is last years (2002) Christmas Special when Jesus was ""packing"" to rescue Santa out of Iraq after he was shot down. This was one of those episodes where I DARE you not to laugh and enjoy it.The supporting cast about South Park is also stellular. The lives (and minds) that intertwine with Stan, Cartman, Kenny and Kyle are just hilarious. Chef, Mr. Garrison. Kyles Mom and Dad, Cartman's Mother, Butters, Timmy!, Sherrif Bar Brady, Principal Victoria, Wendy, BeBe, and..Big Gay Al..etc....etc..you name it, they are just too much.Wonderful and ground-breaking (even though the animation isn't state of the art) nothing is out of bounds for these guys...South Park is an instant classic and a great time to be had by all.","10","10 November 2003"
"8","The series follows a group of four third grade boys(later fourth grade) in the town of South Park, Colorado consisting of Stan(The most grounded and ""normal"" one of the group usually characterized by his cynicism), Kyle (The town's lone Jewish child with a strong willed sense of moral and social responsibility), Cartman (a fat, racist, sexist, arrogant loudmouth who goes to great extremes to bring others misery) and Kenny (the oft-muffled and indiscernible one of the group whose interest include pornography or mischief when he's not being killed in an over the top fashion). Each week the group encounter over the top situations usually spawned from a fun house mirror image of a real world controversy or news cycle, with issues such as abortion, homosexuality, economic policy, racism, sexual politics, and many other taboo subjects with edge to spare.The brain child of creators Matt Stone and Trey Parker, South Park's humble beginnings stem from the creation of two shorts the duo made that served as prototypes for what would become the series (Jesus vs. Frosty). The shorts became early examples of viral media and was spread by notable figures such as George Clooney (who would later have a joke ""guest appearance"" giving guttural dog growls in the episode Big Gay Al's Big Gay Boat Ride). The series almost became a show on the Fox network during their early days having made contemporary envelope pushing content such as Simpsons, Cops, and The X-Files that all pushed the limits of what constituted ""broadcast acceptable"". While executives at the network were initially enthusiastic about the show, disagreements (particularly about Mr. Hankey the Christmas Poo) would end negotiations and shift the duo's efforts to Paramount with a choice of MTV or Comedy Central. Even prior to broadcast the show was faced with poor test screenings and nervous executives, but despite all this the series became a breakout hit generated buzz with taglines like ""this is why the invented the V-Chip"" and becoming a cultural phenomenon prior to airing with $30 million in T-Shirt sales and becoming one of the most watched shows on cable TV at the time and giving mainstream credibility to the network Comedy Central beyond their one respected property Mystery Science Theater 3000 which had mainly niche appeal. In the years since its rough around the edges first season the show has become a pop culture touch stone with many of its lines, characters, and visuals taking on a life of their own becoming cultural icons. The show also is known for its razor sharp bite, fearlessly satirizing politics, culture, society, entertainment, and anything else they can get their hands on.... I only wish I liked and enjoyed the show as much as I respected it.There's no individual element I can point to as when my enjoyment of South Park diminished as the series hasn't seen any noticeable dip in quality since its first season (in fact the writing and animation has only gotten better and better while retaining its minimalist amateur charms), but more with how and what the show satirized. I can understand and appreciate the show's satire of many elements as being both funny and valid, and even episodes with basic if any satire and more of a humor focus are quite good (The Red Badge of Gayness wherein Cartman tries and almost succeeds undoing the North victory of the Civil War simply so he can win a bet with Kyle and Stan is easily my favorite episode of the series) with the show's attacks on various societal inanities being both insightful and humorous.....but then there's the other times where not only did I feel they missed the mark, they went the complete opposite direction from the mark. Episodes like Butt Out, Smug Alert, Two Days Before the Day After Tomorrow, or Manbearpig are some of the most infuriating episodes of television I have ever witnessed. Butt Out plays devil's advocate for cigarette companies playing up a weird Willy Wonkaish image for the Cigarette companies while showing anti-smoking advocates as a coven of vampires willing to lie and murder. Not only does Butt Out use Cigarette Industry funded ""studies"" to say there's no evidence second hand smoke kills, this episode came out SEVEN years after Jeffrey Wigand blew the whistle on the Cigarette companies and was subjected to threats against himself and his family by third party thugs hired through backchannels by Brown & Williamson and created debunked dossiers filled with lies. There's nothing wrong with playing Devil's advocate, but this isn't Devil's Advocate, it's Devil's Cheerleader! If they didn't read the Vanity Fair article, fine, but there's a bloody movie by Michael Mann (The Insider) that covers it! This same approach is utilized in other episodes outside Butt Out with similar aggravating disregard for reality and utilizing other industry funded studies that of course look favorably upon the industry because if you're grading yourself, why grade yourself anything but an 'A'? And the fact that Stone and Parker don't bother pointing out that falicy in industry funded research shows a remarkable lack of self awareness in two individuals whose careers are built on ""Fearless Satire""South Park earns my respect because it says what it wants without a filter. Agree or disagree, there's no attempt to paint their words to make them more appealing, and I can respect that. I can respect the show is made in lightning fast time in both writing and productions. I can respect their willingness to tackle subject matter that larger scale productions wouldn't go near with a 40 foot pole. Unfortunately I don't enjoy or get anything from South Park that I'm happy about. Each subsequent season of South Park left me feeling a greater ratio of sadness, anger, and frustration than humor or laughter. At the end of the day, South Park is about looking into the unflushed toilet that is society and meticulously pulling apart the leavings floating in the bowl for no other reason than to see what the leavings are made of and what makes them smell as bad as they do. I can't ding the show for this because that's exactly what it sets out for, and it's exactly what it accomplishes. Do with that what you will.","7","4 June 2021"
"9","South Park is a great cartoon, even with it's occasional pitfalls every season. It combines satire, music and comedy to create a terrific masterpiece of an animated show. Trey Parker and Matt Stone bring the weekly antics of a inbred mountain town in a way that has never been done before and it is drop dead funny. Sometimes it seems like the seasons get better, sometimes they seem to get worse for some. But episodes like ""Chinpokomon"", ""The Passion of the Jew"", ""Tolerance Camp"", and ""Clubhouse"" are classics. And most episodes get funnier every single time I see it and thanks to Comedy Central giving Parker and Stone full control for language, nothing is out of bounds.","10","19 February 2000"
"10","Matt and Trey need to be commended for this series.  It takes shots at EVERYTHING, and it does it in really questionable taste.  But that's why I love it.  Because, beneath the crude language and vulgar humor, South Park contains one of most biting satires in existence.  This show is hilarious, constantly taking current events, such as Stem Cell Research, or fads, like the infamous Poke'mon craze, and spinning their own view on them.  Thank you, Matt Stone and Trey Parker.  Thank you.BOTTOM LINE:  One show I try to never miss on Wednesdays.  This series gives me something to look for.",NA,"24 October 2003"
